id from to current
00000190B75EC2B0 00000190B75C6A90 00000190B75C8350 2242.94
00000190B5CB7740 00000190B75C66D0 00000190B75C7BD0 6236.7
00000190B75D7BE0 00000190B75C6B50 00000190B75C7810 4220.53
00000190B5CB6F40 00000190B75C75D0 00000190B75C6910 5054.21
00000190B5CB6FC0 00000190B75C75D0 00000190B75C8B90 1400.88
00000190B5C836E0 00000190B75C66D0 00000190B75C6610 2503.18
00000190B75D73E0 00000190B75C8C50 00000190B75C6790 2685.33
00000190B75D7160 00000190B75C9010 00000190B75C8110 -4424.83
00000190B5CB7DC0 00000190B75C6610 00000190B75C75D0 2324.05
00000190B75D71E0 00000190B75C6910 00000190B75C6A90 3486.61
00000190B5CB7D40 00000190B75C6610 00000190B75C8A10 5010.87
00000190B75D7760 00000190B75C8D10 00000190B75C6550 1721.03
00000190B75D77E0 00000190B75C6C10 00000190B75C8C50 3967.06
00000190B5CB73C0 00000190B75C66D0 00000190B75C8710 -446.874
00000190B5CB7940 00000190B75C8A10 00000190B75C8290 4696.15
00000190B75D7060 00000190B75C81D0 00000190B75C6E50 1513.65
00000190B5CB70C0 00000190B75C8A10 00000190B75C8410 -615.244
00000190B75ECB30 00000190B75C7210 00000190B75C7510 4774.49
00000190B75D6AE0 00000190B75C7750 00000190B75C7210 6517.26
00000190B75D6A60 00000190B75C6B50 00000190B75C8050 2309.48
00000190B5CB7240 00000190B75C7BD0 00000190B75C6D90 4683.42
00000190B7609DF0 00000190B75C63D0 00000190B75CC250 5777.01
00000190B75D76E0 00000190B75C69D0 00000190B75C6CD0 4718.81
00000190B5CB76C0 00000190B75C8710 00000190B75C69D0 5046.3
00000190B5CB7640 00000190B75C7BD0 00000190B75C6C10 6628.93
00000190B5CB75C0 00000190B75C8710 00000190B75C9010 366.249
00000190B5CB7AC0 00000190B75C8290 00000190B75C7750 3130.92
00000190B5CB71C0 00000190B75C8290 00000190B75C8AD0 4111.74
00000190B75EC7B0 00000190B75C7210 00000190B75C8F50 4428.35
00000190B75EC730 00000190B75C7F90 00000190B75C8650 4998.97
00000190B75D66E0 00000190B75C8AD0 00000190B75C7A50 1114.84
00000190B75D6660 00000190B75C8410 00000190B75C84D0 -1382.22
00000190B75D65E0 00000190B75C8410 00000190B75C7C90 5560.91
00000190B75D68E0 00000190B75C6C10 00000190B75C8D10 4434.63
00000190B75D6E60 00000190B75C6910 00000190B75C6850 1750.24
00000190B76092F0 00000190B75C63D0 00000190B75C9490 4376.04
00000190B75D81E0 00000190B75C6D90 00000190B75C7690 -233.036
00000190B75D6BE0 00000190B75C6D90 00000190B75C81D0 4204.24
00000190B76098F0 00000190B75C7450 00000190B75CA750 -5212.45
00000190B75D67E0 00000190B75C81D0 00000190B75C63D0 4376.65
00000190B75D6760 00000190B75C8AD0 00000190B75C6B50 5800.38
00000190B75D6FE0 00000190B75C8C50 00000190B75C7E10 2139.65
00000190B760ABF0 00000190B75C6F10 00000190B75C6490 -3780.82
00000190B75D7460 00000190B75C69D0 00000190B75C7ED0 5925.93
00000190B75D7CE0 00000190B75C8D10 00000190B75C72D0 4397.26
00000190B75D6CE0 00000190B75C9010 00000190B75C7B10 8053.64
00000190B75D7D60 00000190B75C7ED0 00000190B75C6F10 4541.69
00000190B75D7E60 00000190B75C7ED0 00000190B75C6FD0 3162
00000190B75D7FE0 00000190B75C7C90 00000190B75C7390 3577.56
00000190B75D8060 00000190B75C6CD0 00000190B75C7F90 7812.6
00000190B75D80E0 00000190B75C7C90 00000190B75C7090 2355.87
00000190B75D63E0 00000190B75C6CD0 00000190B75C8890 -409.608
00000190B75D69E0 00000190B75C7750 00000190B75C7150 -285.329
00000190B75D6DE0 00000190B75C7B10 00000190B75C8950 7236.34
00000190B75EC030 00000190B75C7690 00000190B75C7D50 -4946.62
00000190B75EC0B0 00000190B75C7B10 00000190B75C7450 4408.33
00000190B75EC130 00000190B75C6A90 00000190B75C78D0 3140.63
00000190B75EC6B0 00000190B75C8950 00000190B75C90D0 989.922
00000190B75EC630 00000190B75C72D0 00000190B75C8E90 5252.48
00000190B75ECCB0 00000190B75C8950 00000190B75C6310 4412.47
00000190B75ECC30 00000190B75C72D0 00000190B75C7990 320.404
00000190B75ECD30 00000190B75C7690 00000190B75C8590 6148.98
00000190B75EC530 00000190B75C84D0 00000190B75C9250 6786.44
00000190B75EC5B0 00000190B75C7F90 00000190B75C8DD0 4788.32
00000190B75EC4B0 00000190B75C84D0 00000190B75C87D0 -6728
00000190B760A5F0 00000190B75C6F10 00000190B75CB650 6741.76
00000190B7609BF0 00000190B75C6790 00000190B75CA990 4855.23
00000190B7609CF0 00000190B75C6790 00000190B75C9550 4356.38
00000190B7609D70 00000190B75C7450 00000190B75C9610 1818.76
00000190B7609F70 00000190B75C7E10 00000190B75C9FD0 5194.34
00000190B7609370 00000190B75C7E10 00000190B75C99D0 4424.53
00000190B760A570 00000190B75C7390 00000190B75CAB10 6064.63
00000190B76093F0 00000190B75C7390 00000190B75CBD10 3046.5
00000190B760A3F0 00000190B75C6850 00000190B75CA810 6047.69
00000190B760AC70 00000190B75C6850 00000190B75CB950 2631.12
